,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
10,0.163591,0.163721,0.163851,0.163982,0.164112,0.164616,0.165281,0.165945,0.166609,0.167359,0.168237,0.169114,0.169992,0.170874,0.171794,0.172714,0.173635,0.174555,0.175482,0.176411,0.17734,0.178269,0.179205,0.180148,0.181092,0.182035,0.182983,0.183946,0.184909,0.185872,0.186836,0.187818,0.188803,0.189787,0.190772,0.191772,0.192782,0.193793,0.194803,0.195824,0.196869,0.197915,0.19896,0.200006
11.5385,0.163573,0.163732,0.16389,0.164048,0.164206,0.164725,0.165399,0.166073,0.166746,0.167503,0.168385,0.169267,0.170148,0.171035,0.17196,0.172885,0.173809,0.174734,0.175666,0.176598,0.177531,0.178463,0.179403,0.18035,0.181298,0.182245,0.183197,0.184167,0.185136,0.186106,0.187076,0.188068,0.189063,0.190057,0.191052,0.192063,0.193086,0.194109,0.195131,0.196165,0.197224,0.198284,0.199343,0.200403
13.0769,0.163556,0.163742,0.163928,0.164115,0.164301,0.164835,0.165518,0.166201,0.166883,0.167647,0.168533,0.169419,0.170305,0.171195,0.172125,0.173055,0.173984,0.174914,0.175849,0.176785,0.177722,0.178658,0.179602,0.180553,0.181504,0.182455,0.183411,0.184387,0.185364,0.18634,0.187316,0.188318,0.189322,0.190327,0.191332,0.192354,0.193389,0.194425,0.19546,0.196506,0.19758,0.198653,0.199727,0.2008
14.6154,0.163538,0.163752,0.163967,0.164181,0.164395,0.164944,0.165636,0.166328,0.16702,0.167792,0.168681,0.169571,0.170461,0.171356,0.17229,0.173225,0.174159,0.175093,0.176032,0.176973,0.177913,0.178853,0.1798,0.180755,0.18171,0.182665,0.183625,0.184608,0.185591,0.186574,0.187556,0.188568,0.189582,0.190597,0.191611,0.192646,0.193693,0.194741,0.195788,0.196847,0.197935,0.199022,0.20011,0.201197
16.1538,0.163521,0.163763,0.164005,0.164248,0.16449,0.165054,0.165755,0.166456,0.167157,0.167936,0.16883,0.169724,0.170618,0.171516,0.172455,0.173395,0.174334,0.175273,0.176216,0.17716,0.178104,0.179048,0.179999,0.180957,0.181916,0.182874,0.183839,0.184828,0.185818,0.186807,0.187797,0.188818,0.189842,0.190867,0.191891,0.192937,0.193997,0.195056,0.196116,0.197189,0.19829,0.199391,0.200493,0.201594
17.6923,0.163503,0.163773,0.164044,0.164314,0.164584,0.165163,0.165873,0.166584,0.167294,0.16808,0.168978,0.169876,0.170774,0.171677,0.172621,0.173565,0.174509,0.175453,0.176399,0.177347,0.178295,0.179242,0.180197,0.181159,0.182122,0.183084,0.184053,0.185049,0.186045,0.187041,0.188037,0.189068,0.190102,0.191136,0.192171,0.193228,0.1943,0.195372,0.196445,0.19753,0.198645,0.19976,0.200876,0.201991
19.2308,0.163485,0.163784,0.164082,0.164381,0.164679,0.165272,0.165992,0.166712,0.167431,0.168224,0.169126,0.170028,0.170931,0.171837,0.172786,0.173735,0.174683,0.175632,0.176583,0.177534,0.178486,0.179437,0.180396,0.181362,0.182328,0.183294,0.184267,0.18527,0.186272,0.187275,0.188277,0.189317,0.190362,0.191406,0.19245,0.193519,0.194604,0.195688,0.196773,0.197871,0.199,0.20013,0.201259,0.202388
20.7692,0.163468,0.163794,0.164121,0.164447,0.164774,0.165382,0.166111,0.16684,0.167568,0.168368,0.169274,0.170181,0.171087,0.171998,0.172951,0.173905,0.174858,0.175812,0.176766,0.177721,0.178677,0.179632,0.180594,0.181564,0.182534,0.183504,0.184481,0.18549,0.186499,0.187508,0.188518,0.189567,0.190622,0.191676,0.19273,0.19381,0.194907,0.196004,0.197102,0.198212,0.199356,0.200499,0.201642,0.202785
22.3077,0.16345,0.163805,0.164159,0.164514,0.164868,0.165491,0.166229,0.166967,0.167705,0.168512,0.169423,0.170333,0.171243,0.172158,0.173117,0.174075,0.175033,0.175991,0.17695,0.177909,0.178868,0.179826,0.180793,0.181766,0.18274,0.183713,0.184695,0.185711,0.186727,0.187742,0.188758,0.189817,0.190881,0.191946,0.19301,0.194101,0.195211,0.19632,0.19743,0.198554,0.199711,0.200868,0.202025,0.203182
23.8462,0.163432,0.163815,0.164198,0.16458,0.164963,0.1656,0.166348,0.167095,0.167842,0.168657,0.169571,0.170485,0.1714,0.172319,0.173282,0.174245,0.175208,0.176171,0.177133,0.178096,0.179059,0.180021,0.180991,0.181968,0.182946,0.183923,0.184909,0.185932,0.186954,0.187976,0.188998,0.190067,0.191141,0.192215,0.19329,0.194392,0.195514,0.196636,0.197758,0.198895,0.200066,0.201237,0.202408,0.203579
25.3846,0.163415,0.163825,0.164236,0.164647,0.165057,0.16571,0.166466,0.167223,0.167979,0.168801,0.169719,0.170638,0.171556,0.17248,0.173447,0.174415,0.175382,0.17635,0.177317,0.178283,0.17925,0.180216,0.18119,0.182171,0.183152,0.184133,0.185123,0.186152,0.187181,0.18821,0.189238,0.190317,0.191401,0.192485,0.193569,0.194684,0.195818,0.196952,0.198087,0.199236,0.200421,0.201606,0.202791,0.203976
26.9231,0.163397,0.163836,0.164274,0.164713,0.165152,0.165819,0.166585,0.167351,0.168116,0.168945,0.169867,0.17079,0.171713,0.17264,0.173612,0.174585,0.175557,0.17653,0.1775,0.17847,0.179441,0.180411,0.181388,0.182373,0.183358,0.184343,0.185338,0.186373,0.187408,0.188443,0.189479,0.190567,0.191661,0.192755,0.193849,0.194975,0.196121,0.197268,0.198415,0.199578,0.200776,0.201975,0.203174,0.204373
28.4615,0.16338,0.163846,0.164313,0.164779,0.165246,0.165929,0.166704,0.167479,0.168253,0.169089,0.170016,0.170942,0.171869,0.172801,0.173778,0.174755,0.175732,0.176709,0.177684,0.178658,0.179632,0.180605,0.181587,0.182575,0.183564,0.184552,0.185552,0.186593,0.187635,0.188677,0.189719,0.190817,0.191921,0.193025,0.194129,0.195266,0.196425,0.197584,0.198743,0.199919,0.201132,0.202344,0.203557,0.20477
30,0.163362,0.163857,0.164351,0.164846,0.165341,0.166038,0.166822,0.167606,0.16839,0.169233,0.170164,0.171095,0.172025,0.172961,0.173943,0.174925,0.175907,0.176889,0.177867,0.178845,0.179822,0.1808,0.181785,0.182777,0.18377,0.184762,0.185766,0.186814,0.187862,0.188911,0.189959,0.191067,0.192181,0.193294,0.194408,0.195557,0.196729,0.1979,0.199072,0.20026,0.201487,0.202714,0.20394,0.205167
32.3077,0.163271,0.163761,0.164251,0.164741,0.165231,0.165924,0.166705,0.167485,0.168265,0.169104,0.17003,0.170956,0.171882,0.172813,0.17379,0.174766,0.175742,0.176719,0.177694,0.178669,0.179643,0.180618,0.181602,0.182593,0.183585,0.184577,0.185579,0.186626,0.187673,0.18872,0.189767,0.190871,0.191981,0.193092,0.194202,0.195346,0.196513,0.197679,0.198846,0.200029,0.201249,0.202469,0.20369,0.20491
34.6154,0.16318,0.163665,0.164151,0.164636,0.165122,0.165811,0.166587,0.167363,0.16814,0.168974,0.169896,0.170817,0.171739,0.172665,0.173636,0.174607,0.175578,0.176549,0.17752,0.178492,0.179464,0.180436,0.181418,0.182409,0.1834,0.184391,0.185393,0.186438,0.187484,0.188529,0.189574,0.190675,0.191782,0.192889,0.193996,0.195135,0.196297,0.197458,0.19862,0.199797,0.201011,0.202225,0.203439,0.204653
36.9231,0.163089,0.16357,0.164051,0.164531,0.165012,0.165697,0.166469,0.167242,0.168014,0.168845,0.169762,0.170678,0.171595,0.172517,0.173482,0.174448,0.175413,0.176378,0.177347,0.178316,0.179285,0.180254,0.181234,0.182225,0.183215,0.184206,0.185207,0.18625,0.187294,0.188338,0.189382,0.190479,0.191582,0.192686,0.193789,0.194924,0.196081,0.197237,0.198394,0.199566,0.200774,0.201981,0.203189,0.204396
39.2308,0.162998,0.163474,0.16395,0.164426,0.164902,0.165583,0.166352,0.16712,0.167889,0.168715,0.169627,0.17054,0.171452,0.172369,0.173329,0.174289,0.175249,0.176208,0.177173,0.17814,0.179106,0.180073,0.181051,0.182041,0.18303,0.18402,0.18502,0.186063,0.187105,0.188147,0.189189,0.190283,0.191383,0.192483,0.193583,0.194714,0.195865,0.197017,0.198168,0.199335,0.200536,0.201737,0.202938,0.20414
41.5385,0.162907,0.163378,0.16385,0.164321,0.164793,0.16547,0.166234,0.166999,0.167764,0.168586,0.169493,0.170401,0.171309,0.172221,0.173175,0.17413,0.175084,0.176038,0.177,0.177964,0.178927,0.179891,0.180867,0.181856,0.182845,0.183835,0.184834,0.185875,0.186915,0.187956,0.188996,0.190087,0.191184,0.19228,0.193376,0.194503,0.195649,0.196796,0.197942,0.199103,0.200298,0.201493,0.202688,0.203883
